Name,ProfileURL,Position,Team,GP,GS,MPG,PPG,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,GP,GS,MPG,OREB,DREB,REB,RPG,GP,GS,AST,APG,TO,TOPG,A/TO,GP,GS,STL,SPG,GP,GS,BLK,BPG
A.J. Hoggard,https://www.cbssports.com/college-basketball/players/3178434/aj-hoggard/,G,VANDY,32,31,25.9,9.6,106,301,35.2,26,96,27.1,69,94,73.4,32,31,25.9,9,74,83,2.6,32,31,148,4.6,71,2.2,2.1,32,31,38,1.20,32,31,8,0.30
A.J. Patterson,https://www.cbssports.com/college-basketball/players/29592975/aj-patterson/,G,AF,10,0,4.9,0.7,2,7,28.6,0,2,0.0,3,4,75.0,10,0,4.9,2,4,6,0.6,10,0,3,0.3,7,0.7,0.4,10,0,1,0.10,10,0,0,0.00
A.J. Staton-McCray,https://www.cbssports.com/college-basketball/players/3177740/aj-staton-mccray/,G,MIAMI,31,17,21.9,7.3,80,198,40.4,32,99,32.3,34,41,82.9,31,17,21.9,21,54,75,2.4,31,17,30,1.0,26,0.8,1.2,31,17,33,1.10,31,17,18,0.60
A.J. Wills,https://www.cbssports.com/college-basketball/players/29231883/aj-wills/,G,WYO,30,5,18.3,4.8,48,121,39.7,24,56,42.9,24,34,70.6,30,5,18.3,4,23,27,0.9,30,5,49,1.6,34,1.1,1.4,30,5,8,0.30,30,5,2,0.10
AC Bryant,https://www.cbssports.com/college-basketball/players/29264883/ac-bryant/,G,ALAM,31,25,24.3,14.0,145,303,47.9,51,125,40.8,94,141,66.7,31,25,24.3,43,92,135,4.4,31,25,49,1.6,38,1.2,1.3,31,25,43,1.40,31,25,3,0.10
AD Diedhiou,https://www.cbssports.com/college-basketball/players/26778407/ad-diedhiou/,F,LAMON,32,6,18.2,3.2,41,78,52.6,0,0,—,20,34,58.8,32,6,18.2,46,84,130,4.1,32,6,31,1.0,16,0.5,1.9,32,6,13,0.40,32,6,17,0.50
AJ Allenspach,https://www.cbssports.com/college-basketball/players/26778059/aj-allenspach/,F,ARMY,33,32,25.8,10.7,140,206,68.0,1,1,100.0,71,107,66.4,33,32,25.8,91,141,232,7.0,33,32,42,1.3,50,1.5,0.8,33,32,19,0.60,33,32,10,0.30
AJ Barnes,https://www.cbssports.com/college-basketball/players/29562187/aj-barnes/,F,STHRN,32,0,10.1,4.1,52,113,46.0,1,8,12.5,27,38,71.1,32,0,10.1,40,64,104,3.3,32,0,12,0.4,16,0.5,0.8,32,0,16,0.50,32,0,5,0.20
AJ Bates,https://www.cbssports.com/college-basketball/players/29559210/aj-bates/,G,LATECH,29,4,17.6,4.6,44,101,43.6,13,41,31.7,33,49,67.3,29,4,17.6,7,50,57,2.0,29,4,49,1.7,29,1.0,1.7,29,4,22,0.80,29,4,3,0.10
AJ Brown,https://www.cbssports.com/college-basketball/players/28954244/aj-brown/,G,OHIO,29,29,26.6,13.2,123,261,47.1,54,139,38.8,82,100,82.0,29,29,26.6,31,62,93,3.2,29,29,32,1.1,36,1.2,0.9,29,29,37,1.30,29,29,2,0.10
AJ Burgin,https://www.cbssports.com/college-basketball/players/26777591/aj-burgin/,G,IDST,30,2,15.9,6.4,65,191,34.0,49,143,34.3,13,15,86.7,30,2,15.9,16,56,72,2.4,30,2,34,1.1,21,0.7,1.6,30,2,12,0.40,30,2,0,0.00
AJ Casey,https://www.cbssports.com/college-basketball/players/28954289/aj-casey/,F,STLOU,3,0,7,1.7,2,2,100.0,1,1,100.0,0,0,—,3,0,7,1,4,5,1.7,3,0,0,0.0,3,1.0,0.0,3,0,0,0.00,3,0,2,0.70
AJ Clark,https://www.cbssports.com/college-basketball/players/29232459/aj-clark/,G,VMI,32,19,21.4,4.9,56,102,54.9,5,19,26.3,39,61,63.9,32,19,21.4,28,115,143,4.5,32,19,40,1.3,26,0.8,1.5,32,19,60,1.90,32,19,30,0.90
AJ Clayton,https://www.cbssports.com/college-basketball/players/26778359/aj-clayton/,F,OHIO,29,29,28.3,14.0,141,294,48.0,66,176,37.5,59,75,78.7,29,29,28.3,34,119,153,5.3,29,29,30,1.0,33,1.1,0.9,29,29,17,0.60,29,29,44,1.50
AJ Dancler,https://www.cbssports.com/college-basketball/players/29231736/aj-dancler/,G,LEMOYN,30,22,32,15.1,154,346,44.5,67,166,40.4,78,102,76.5,30,22,32,13,101,114,3.8,30,22,101,3.4,79,2.6,1.3,30,22,33,1.10,30,22,6,0.20
AJ Economou,https://www.cbssports.com/college-basketball/players/29332102/aj-economou/,G,HAWAII,11,0,1.6,0.0,0,5,0.0,0,3,0.0,0,0,—,11,0,1.6,1,0,1,0.1,11,0,1,0.1,0,0.0,—,11,0,1,0.10,11,0,0,0.00
AJ Ferguson,https://www.cbssports.com/college-basketball/players/28953572/aj-ferguson/,G,MURYST,33,33,35.4,11.3,123,269,45.7,37,105,35.2,89,128,69.5,33,33,35.4,45,147,192,5.8,33,33,46,1.4,59,1.8,0.8,33,33,33,1.00,33,33,16,0.50
AJ George,https://www.cbssports.com/college-basketball/players/26778851/aj-george/,G,SMU,22,0,6.6,2.0,15,25,60.0,2,6,33.3,12,18,66.7,22,0,6.6,6,16,22,1.0,22,0,5,0.2,8,0.4,0.6,22,0,4,0.20,22,0,2,0.10
AJ Hopkins,https://www.cbssports.com/college-basketball/players/29556228/aj-hopkins/,G,TNMART,24,9,16.9,3.0,26,81,32.1,19,66,28.8,2,2,100.0,24,9,16.9,15,55,70,2.9,24,9,6,0.3,7,0.3,0.9,24,9,14,0.60,24,9,5,0.20
AJ LaBeau,https://www.cbssports.com/college-basketball/players/29232915/aj-labeau/,F,CORN,7,0,3,1.1,3,5,60.0,0,1,0.0,2,2,100.0,7,0,3,2,3,5,0.7,7,0,1,0.1,1,0.1,1.0,7,0,0,0.00,7,0,2,0.30
AJ Lesburt Jr.,https://www.cbssports.com/college-basketball/players/28953608/aj-lesburt-jr/,G,BROWN,22,17,27.1,10.3,76,184,41.3,50,134,37.3,25,34,73.5,22,17,27.1,12,67,79,3.6,22,17,40,1.8,23,1.0,1.7,22,17,14,0.60,22,17,7,0.30
AJ Levine,https://www.cbssports.com/college-basketball/players/29557011/aj-levine/,G,PENN,24,12,21.4,4.0,34,109,31.2,11,46,23.9,17,26,65.4,24,12,21.4,12,50,62,2.6,24,12,50,2.1,32,1.3,1.6,24,12,26,1.10,24,12,2,0.10
AJ Lopez,https://www.cbssports.com/college-basketball/players/26775476/aj-lopez/,G,MAINE,34,33,30.8,14.7,172,359,47.9,56,139,40.3,101,115,87.8,34,33,30.8,5,74,79,2.3,34,33,39,1.1,51,1.5,0.8,34,33,27,0.80,34,33,5,0.10
AJ Lux,https://www.cbssports.com/college-basketball/players/29232765/aj-lux/,G,BELLAR,23,0,12.8,3.3,24,64,37.5,16,47,34.0,11,12,91.7,23,0,12.8,17,33,50,2.2,23,0,12,0.5,5,0.2,2.4,23,0,8,0.30,23,0,5,0.20
AJ McBride,https://www.cbssports.com/college-basketball/players/29558217/aj-mcbride/,G,NIAGARA,2,0,8,1.0,1,2,50.0,0,1,0.0,0,0,—,2,0,8,1,1,2,1.0,2,0,0,0.0,0,0.0,—,2,0,0,0.00,2,0,0,0.00
AJ McGinnis,https://www.cbssports.com/college-basketball/players/3177771/aj-mcginnis/,G,WICHST,34,5,14.5,3.8,44,114,38.6,32,92,34.8,9,11,81.8,34,5,14.5,3,14,17,0.5,34,5,10,0.3,15,0.4,0.7,34,5,8,0.20,34,5,3,0.10
AJ McKee,https://www.cbssports.com/college-basketball/players/28954697/aj-mckee/,G,MILW,32,32,29.7,11.3,129,313,41.2,39,133,29.3,64,89,71.9,32,32,29.7,30,57,87,2.7,32,32,53,1.7,48,1.5,1.1,32,32,39,1.20,32,32,10,0.30
AJ Redd,https://www.cbssports.com/college-basketball/players/29058746/aj-redd/,G,ILL,14,0,1.9,0.2,1,5,20.0,0,0,—,1,6,16.7,14,0,1.9,2,6,8,0.6,14,0,2,0.1,1,0.1,2.0,14,0,1,0.10,14,0,1,0.10
