name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Adrame Diongue,https://www.on3.com/db/adrame-diongue-1589/,C,JR,7-0,190,Compass Prep,"(Scottsdale, AZ)",91.53,,Entered,San Jose State,
Adrian Myers,https://www.on3.com/db/adrian-myers-158451/,PF,SO,6-7,185,Massanutten Military Academy,"(Woodstock, VA)",82.75,,Entered,Mississippi State,
Al Amadou,https://www.on3.com/db/al-amadou-147273/,PF,SO,6-9,185,Springside Chestnut Hill Academy,"(Harrisburg, PA)",89.00,,Committed,Marquette,Saint Joseph's University Hawks
Alex Bates,https://www.on3.com/db/alex-bates-250143/,SG,SO,-,190,United Faith Christian Academy,"(Charlotte, NC)",,,Entered,Stonehill College,
Alex Hemenway,https://www.on3.com/db/alex-hemenway-3078/,SG,SR,6-3,170,Castle,"(Newburgh, IN)",,,Entered,Vanderbilt,
Alex Steen,https://www.on3.com/db/alex-steen-250372/,PF,JR,6-8,225,Arnold,"(Panama City Beach, FL)",91.49,,Committed,Florida Southern,Florida State Seminoles
Always Wright,https://www.on3.com/db/always-wright-250319/,CG,JR,6-3,175,Joplin,"(Joplin, MO)",,,Entered,Rhode Island,
Amarri Tice,https://www.on3.com/db/amarri-tice-178430/,SF,JR,6-7,220,South Kent School,"(Newburgh, NY)",,,Entered,Quinnipiac,
Andre Mills,https://www.on3.com/db/andre-mills-152469/,SG,FR,6-3,180,Brimmer And May School,"(Saxtons River, VT)",89.00,,Committed,Texas A&M,Maryland Terrapins
Barrington Hargess,https://www.on3.com/db/barrington-hargess-250353/,PG,RS-SO,6-0,,Heritage Christian School,"(Inglewood, CA)",92.40,,Committed,University of California Riverside,Colorado Buffaloes
Bernie Blunt III,https://www.on3.com/db/bernie-blunt-iii-250100/,PG,SR,5-11,180,The Peddie School,"(Morgantown, PA)",85.00,,Entered,Mercyhurst College,
Brandon Haddock,https://www.on3.com/db/brandon-haddock-161721/,PG,SR,6-1,173,Southlake Carroll,"(Southlake, TX)",,,Entered,Utah,
Brody Davis,https://www.on3.com/db/brody-davis-250131/,C,SR,6-10,235,James Clemens,"(Madison, AL)",,,Entered,Samford,
Brycen Long,https://www.on3.com/db/brycen-long-178494/,CG,SR,6-2,181,Gilbert,"(Gilbert, AZ)",,,Committed,Arizona State,Portland State Vikings
C.J. Anthony,https://www.on3.com/db/cj-anthony-16354/,PG,SR,5-11,180,Harvest Preparatory School,"(Columbus, OH)",,,Entered,Cincinnati,
Cam'Ron Fletcher,https://www.on3.com/db/camron-fletcher-17541/,SF,SR,6-6,180,Vashon,"(Saint Louis, MO)",86.00,,Committed,Xavier,High Point Panthers
Cameron Palesse,https://www.on3.com/db/cameron-palesse-18014/,PG,RS-JR,6-3,175,Waukesha West,"(Waukesha, WI)",,,Entered,Canisius University,
Cameron Simpson,https://www.on3.com/db/cameron-simpson-250258/,SG,FR,6-7,180,Oak Ridge,"(Orlando, FL)",,,Entered,UCF,
Chase Cormier,https://www.on3.com/db/chase-cormier-20628/,CG,JR,6-2,165,Greenforest McCalep Christian Academy,"(Decatur, GA)",85.50,,Entered,Wofford,
Chase Dawson,https://www.on3.com/db/chase-dawson-250096/,PG,FR,6-0,170,Flight 22 Prep Academy,"(Durham, NC)",84.00,,Entered,Mount Olive,
Christian Bliss,https://www.on3.com/db/christian-bliss-175929/,PG,RS-FR,6-4,205,George School,"(Brooklyn, NY)",89.00,,Entered,Virginia,
Colt Langdon,https://www.on3.com/db/colt-langdon-162560/,PF,FR,6-7,205,Millbrook,"(Raleigh, NC)",89.75,,Entered,Butler,NC State
Connor Horan,https://www.on3.com/db/connor-horan-250176/,PF,FR,6-8,230,Blue Ridge School,"(Fairfax, VA)",,,Entered,Iona,
Damjan Vukcevic,https://www.on3.com/db/damjan-vukcevic-250248/,C,JR,7-1,250,West Nottingham Academy,,,,Entered,UT Martin,
Damoni Harrison,https://www.on3.com/db/damoni-harrison-250229/,SG,JR,6-5,180,Archer,"(Atlanta, GA)",,,Entered,University of Southern Indiana,
Demarion Watson-Saulsberry,https://www.on3.com/db/demarion-watson-saulsberry-33800/,SG,JR,6-7,215,Totino-Grace,"(Minneapolis, MN)",86.89,,Entered,Iowa State,
Denham Wojcik,https://www.on3.com/db/denham-wojcik-34172/,PG,SR,6-1,165,Porter-Gaud School,"(Charleston, SC)",,,Entered,Harvard,
Desmond White,https://www.on3.com/db/desmond-white-158444/,PG,SO,6-2,170,The Skill Factory,"(Jefferson City, MO)",82.50,,Entered,Missouri State University,
Devin Williams,https://www.on3.com/db/devin-williams-147232/,PF,SO,6-10,200,Centennial,"(Corona, CA)",91.45,,Entered,UCLA,
Dominique Diomande,https://www.on3.com/db/dominique-diomande-250364/,SF,FR,6-8,190,,(Tours),,,Committed,Washington,BYU Cougars
Donovan Brown,https://www.on3.com/db/donovan-brown-250093/,SG,FR,6-2,180,Waubonsee Community College,"(Bolingbrook, IL)",89.00,,Committed,Florida Institute of Technology,Massachusetts Minutemen
Ebrahim Kaba,https://www.on3.com/db/ebrahim-kaba-236941/,PF,FR,6-9,,The Peddie School,"(East Orange, NJ)",,,Committed,St. Bonaventure University,Purdue University Fort Wayne Mastodons
