name,profile,position,class,height,weight,high_school,hometown,rating,nil_value,status,last_team,new_team
Peyton Marshall,https://www.on3.com/db/peyton-marshall-154716/,C,FR,7-0,336,Overtime Elite,"(Marietta, GA)",91.44,,Committed,Missouri,Georgia Tech Yellow Jackets
Naas Cunningham,https://www.on3.com/db/naas-cunningham-90872/,SF,FR,6-7,180,Southern California Academy,"(West Orange, NJ)",90.42,,Committed,Alabama,UNLV Rebels
Tyrell Ward,https://www.on3.com/db/tyrell-ward-118605/,SG,JR,6-6,185,DeMatha Catholic,"(Hyattsville, MD)",89.94,,Committed,LSU,VCU Rams
Dillon Mitchell,https://www.on3.com/db/dillon-mitchell-37027/,SF,JR,6-7,180,Montverde Academy,"(Spring Hill, FL)",95.24,,Committed,Cincinnati,St. John's Red Storm
Desmond Claude,https://www.on3.com/db/desmond-claude-35547/,PG,JR,6-5,180,Putnam Science Academy,"(Oakdale, CT)",93.52,,Entered,USC,N/A
Ryan Forrest,https://www.on3.com/db/ryan-forrest-155496/,SG,SO,6-4,190,Link Academy,"(Marion, AR)",84.58,,Entered,North Carolina A&T,N/A
Curtis Givens,https://www.on3.com/db/curtis-givens-150968/,PG,FR,6-3,180,Montverde Academy,"(Memphis, TN)",94.71,,Entered,LSU,N/A
James Scott,https://www.on3.com/db/james-scott-155486/,PF,SO,6-11,210,Seventy-First,"(Fayetteville, NC)",84.00,,Entered,Louisville,N/A
Elijah Hawkins,https://www.on3.com/db/elijah-hawkins-179456/,PG,SR,5-11,152,DeMatha Catholic,"(Washington, DC)",,,Entered,Texas Tech,N/A
Ja'Vier Francis,https://www.on3.com/db/javier-francis-50703/,PF,SR,6-8,235,Montverde Academy,"(Montverde, FL)",,,Entered,Houston,N/A
Travis Perry,https://www.on3.com/db/travis-perry-114678/,PG,FR,6-2,170,Lyon County,"(Eddyville, KY)",93.67,,Entered,Kentucky,N/A
Karris Bilal,https://www.on3.com/db/karris-bilal-162595/,PG,FR,6-2,180,Riverwood,"(Atlanta, GA)",89.00,,Committed,Vanderbilt,Louisiana Ragin Cajuns
Sean Stewart,https://www.on3.com/db/sean-stewart-105663/,PF,SO,6-8,230,Montverde Academy,"(Orlando, FL)",97.93,,Entered,Ohio State,N/A
Jacksen Moni,https://www.on3.com/db/jacksen-moni-247260/,PF,SR,6-10,235,Sheyenne,"(Fargo, ND)",,,Entered,North Dakota State,N/A
Ven-Allen Lubin,https://www.on3.com/db/ven-allen-lubin-119387/,SF,JR,6-8,226,Orlando Christian Prep,"(Orlando, FL)",94.08,,Entered,North Carolina,N/A
Jestin Porter,https://www.on3.com/db/jestin-porter-147851/,CG,SR,6-1,180,Cy Ridge,"(Houston, TX)",90.93,,Committed,Middle Tennessee State,Clemson Tigers
Duke Miles,https://www.on3.com/db/duke-miles-39340/,CG,SR,6-2,170,Percy L. Julian,"(Montgomery, AL)",92.80,,Committed,Oklahoma,Texas A&M Aggies
Boogie Fland,https://www.on3.com/db/boogie-fland-64138/,PG,FR,6-2,175,Archbishop Stepinac,"(Harlem, NY)",98.17,,Entered,Arkansas,N/A
Jason Drake,https://www.on3.com/db/jason-drake-57513/,CG,JR,6-2,180,St. Mary's,"(West Bloomfield, MI)",89.00,,Committed,Drexel,Indiana Hoosiers
Sam Walters,https://www.on3.com/db/sam-walters-104586/,PF,SO,6-9,180,Villages Charter School,"(The Villages, FL)",90.90,,Committed,Michigan,SMU Mustangs
Dawson Garcia,https://www.on3.com/db/dawson-garcia-32563/,PF,SR,6-11,220,Prior Lake,"(Prior Lake, MN)",96.51,,Entered,Minnesota,N/A
Garwey Dual,https://www.on3.com/db/garwey-dual-155406/,CG,SO,6-5,175,So Cal Academy,"(Carmel, IN)",90.00,,Committed,Seton Hall,McNeese State Cowboys
AK Okereke,https://www.on3.com/db/ak-okereke-250308/,PF,JR,6-7,241,Clovis North,"(Clovis, CA)",,,Committed,Cornell,Vanderbilt Commodores
Kyrell Luc,https://www.on3.com/db/kyrell-luc-155015/,PG,SR,5-11,164,Brimmer And May School,"(Chestnut Hill, MA)",89.00,,Entered,Longwood,N/A
Bobby Pettiford,https://www.on3.com/db/bobby-pettiford-11354/,PG,SR,6-1,190,South Granville,"(Durham, NC)",89.00,,Entered,High Point,N/A
Rodney Rice,https://www.on3.com/db/rodney-rice-101753/,SG,JR,6-4,205,DeMatha Catholic,"(Clinton, MD)",95.73,,Committed,Maryland,USC Trojans
Baba Miller,https://www.on3.com/db/baba-miller-155768/,PF,JR,6-10,180,Spain,(Madrid),86.67,,Entered,Florida Atlantic,N/A
Nazir Williams,https://www.on3.com/db/nazir-williams-250752/,PG,SR,6-3,185,South Kent School,"(Nyack, NY)",90.57,,Entered,Cornell,N/A
"Keith Higgins, Jr.",https://www.on3.com/db/keith-higgins-jr-72109/,SG,SR,6-3,165,Chaminade,"(West Hills, CA)",92.57,,Entered,Lehigh,N/A
